time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA
2007-10-11,0.386,0.646,0.358,0.588,,0.6046039676935666,0.640498427210053,0.6602926177307976,,
2007-10-12,0.581,0.583,0.47,0.567,,0.6010226374370364,0.6376161359469137,0.6584452391618709,,
2007-10-15,0.371,0.56,0.371,0.527,,0.5939728624430329,0.6332782482627209,0.6558423631388636,,
2007-10-16,0.657,0.807,0.629,0.746,,0.6084516374484583,0.6376987091151632,0.657627662878688,,
2007-10-17,0.482,0.684,0.482,0.662,,0.6135514815009862,0.6386517009145686,0.6577142438117833,,
2007-10-18,0.693,0.739,0.542,0.542,,0.6067370546913684,0.6348614381336051,0.6554228726471936,,
2007-10-19,0.606,0.733,0.606,0.718,,0.6173335256731428,0.6381217738930716,0.6566620236838828,,
2007-10-22,0.628,0.739,0.628,0.659,,0.6213017613233197,0.6389405278580491,0.656708320244598,,
2007-10-23,0.459,0.642,0.458,0.638,,0.6228920697687178,0.6389036444126355,0.6563378584575763,,
2007-10-24,0.628,0.802,0.597,0.731,,0.633188063124078,0.6425152662003752,0.6578163167059411,,
2007-10-25,0.571,0.766,0.496,0.759,,0.6451701523503564,0.6470832949768311,0.6598199539988927,,
2007-10-26,0.53,0.56,0.49,0.53,,0.6342015664122271,0.6424917932130338,0.6572492618404988,,
2007-10-29,0.358,0.609,0.358,0.571,,0.6281823696110627,0.6396881934791894,0.6555413556654395,,
2007-10-30,0.462,0.831,0.462,0.803,,0.6448316677433424,0.646092578048633,0.6584613288205793,,
2007-10-31,0.504,0.578,0.439,0.466,,0.6278000803392146,0.6390301240075101,0.6546502133983896,,
2007-11-01,0.584,0.79,0.576,0.687,,0.6334381679259561,0.6409112956150588,0.6552908032320849,,
2007-11-02,0.618,0.741,0.601,0.704,,0.6401583424091983,0.6433853624536839,0.6562553417819446,,
2007-11-05,0.613,0.72,0.58,0.674,0.67202,0.6433813574178461,0.6445859364751081,0.6566067211525991,,
2007-11-06,0.579,0.676,0.477,0.671,0.6720098507462686,0.6460117043304322,0.6456217821035353,0.65689173657532,,
2007-11-07,0.521,0.682,0.521,0.674,0.6720296532264053,0.6486772562989624,0.6467346533935927,0.657230514068878,,
2007-11-08,0.476,0.819,0.467,0.799,0.6732930397614659,0.6629937080800137,0.6527058434565891,0.6600378306219695,,
2007-11-09,0.685,0.803,0.678,0.697,0.6735289299130931,0.6662324025485838,0.6544428692033896,0.6607697547680691,,
2007-11-12,0.653,0.749,0.542,0.585,0.672648045038336,0.6584959832582425,0.6517196194307077,0.659269363584543,,
2007-11-13,0.63,0.833,0.567,0.833,0.6742435868787505,0.6751154134241242,0.6588286539628367,0.6627095742066312,,
2007-11-14,0.572,0.671,0.525,0.624,0.6737436506909023,0.6702472788123028,0.6574628243956667,0.6619430479847177,,
2007-11-15,0.726,0.804,0.716,0.797,0.6749700820273112,0.6823189665444644,0.6629348704977974,0.6646174430741293,,
2007-11-16,0.7,1.264,0.7,0.97,0.6779057031016663,0.7097171602068963,0.6749766402821975,0.670664622419196,,
2007-11-19,0.434,0.67,0.434,0.657,0.6776976861553811,0.70469647828243,0.6742716739966211,0.6703940358366377,,
2007-11-20,0.553,0.815,0.544,0.791,0.6788250723627902,0.712915861303151,0.6788492554085184,0.6727822727507637,,
2007-11-21,0.785,0.895,0.755,0.802,0.6800506935333097,0.7214000649885652,0.6836786963728902,0.6753410396269862,,
2007-11-23,0.534,0.586,0.449,0.543,0.678687005040441,0.7044095826087019,0.6781618847504239,0.6727204249809072,,
2007-11-26,0.588,0.7,0.557,0.699,0.6788891243932724,0.703894384265016,0.6789790657406034,0.6732408126050476,,
2007-11-27,0.453,0.665,0.438,0.545,0.677556894299807,0.6887615857635859,0.6737249847311679,0.6707013905732645,,
2007-11-28,0.629,0.636,0.541,0.565,0.6764369252022965,0.6769747680718158,0.6694612598397496,0.6686082937302296,,
2007-11-29,0.405,0.595,0.405,0.588,0.6755569557972985,0.6685009806364047,0.6662667006303477,0.6670120898939874,,
2007-11-30,0.573,0.693,0.573,0.679,0.675591214943594,0.6695008872424614,0.6667660457036674,0.6672494742525223,,
2007-12-03,0.574,0.836,0.562,0.606,0.6748987650436578,0.6634531836955603,0.6643830635192098,0.6660366133762348,,
2007-12-04,0.601,0.898,0.541,0.873,0.6768699216103875,0.6834100233436021,0.6725641198517899,0.6701348982598737,,
2007-12-05,0.509,0.631,0.492,0.629,0.6763936039824234,0.6782281163584971,0.670855722994857,0.6693203458190842,,
2007-12-06,0.652,0.669,0.537,0.549,0.6751260059328471,0.665920676705307,0.6660770671911371,0.6669377647137558,,
2007-12-07,0.479,0.607,0.472,0.605,0.6744282347295352,0.6601187074952777,0.6636818880856024,0.6657112743233844,,
2007-12-10,0.522,0.739,0.466,0.671,0.6743941229411816,0.661155021067156,0.6639688728665591,0.6658160015645055,,
2007-12-11,0.639,0.783,0.573,0.782,0.675464828185548,0.6726640666798078,0.6685975445188509,0.6681166748008519,,
2007-12-12,0.54,0.702,0.532,0.678,0.6754900537757416,0.6731722508055404,0.6689662682632097,0.668312384210736,,
2007-12-13,0.503,0.844,0.449,0.734,0.6760722422953859,0.6789653697764414,0.6715166106842603,0.6696131290778502,,
2007-12-14,0.662,0.682,0.586,0.619,0.6755043592874715,0.673254382178685,0.6694571357554657,0.6686108888980908,,
2007-12-17,0.49,0.645,0.49,0.641,0.6751610323293873,0.6701825362569055,0.6683411696474082,0.6680641386228812,,
2007-12-18,0.611,0.762,0.611,0.741,0.6758161464355625,0.6769270566133907,0.6711905355435883,0.6695084131055964,,
2007-12-19,0.88,0.965,0.677,0.685,0.6759075280630694,0.6776959083644963,0.67173208316933,0.6698151772025153,,
2007-12-20,0.537,0.778,0.385,0.42,0.6733611845002528,0.653153440901211,0.6618602367705327,0.6648683420103862,,
2007-12-21,0.512,0.685,0.505,0.636,0.6729894314206484,0.6515197798630004,0.660846109838355,0.6642966916735469,,
2007-12-24,0.473,0.72,0.433,0.72,0.6734571982721842,0.6580417055903337,0.6631658702368509,0.6653997274819915,,
2007-12-26,0.608,0.859,0.575,0.644,0.6731640918217147,0.6567044002960162,0.6624142674824646,0.6649759705021501,,
2007-12-27,0.557,0.701,0.537,0.592,0.672356488918016,0.6505420764583003,0.6596529236596228,0.6635309017793353,,
2007-12-28,0.349,0.597,0.349,0.563,0.671268364650175,0.6422047358432241,0.6558626129278728,0.6615401908530117,,
2007-12-31,0.628,0.803,0.531,0.674,0.6712955451014171,0.6452328562391075,0.6565738830091328,0.6617869197470115,,
2008-01-02,0.702,0.802,0.499,0.783,0.6724070322148358,0.6583535365972878,0.6615317699499511,0.6641871787619222,,
