signal,horizont_tage,n_events,mean_return,mean_mdd,sharpe,mean_return_basis,t_pvalue,u_pvalue,signifikant_5pct,Börse,Ratio_Art,Niveau,Index,Mehrrendite,belastbar
volume_ratio_70pct_fallend,90,731,0.04148153757890475,-0.13997686876234755,0.48445605915168105,0.034351194551070496,0.20510555858063054,0.03412956637231592,False,NASDAQ,volume_ratio,70,Russell 2000,0.007130343027834253,True
volume_ratio_80pct_fallend,30,353,0.012156239254968353,-0.07558230851177349,0.44297493741326105,0.01197949632199546,0.9673338053224013,0.30588600355079354,False,NASDAQ,volume_ratio,80,S&P 500,0.00017674293297289222,True
volume_ratio_80pct_fallend,60,353,0.025556999237242282,-0.10191503990079724,0.5135237900591747,0.024081544333417183,0.7903319956751954,0.2112022933593638,False,NASDAQ,volume_ratio,80,S&P 500,0.0014754549038250991,True
volume_ratio_80pct_fallend,90,353,0.03344331009798397,-0.12238182173369919,0.4337145980516546,0.03654052573550044,0.6586676476870496,0.36022040982279024,False,NASDAQ,volume_ratio,80,S&P 500,-0.0030972156375164706,True
volume_ratio_80pct_fallend,30,353,0.011618667079067101,-0.07021011638390244,0.4586523262947636,0.010153208940029,0.7132819676021814,0.11472485000203009,False,NASDAQ,volume_ratio,80,Dow Jones,0.0014654581390381016,True
volume_ratio_80pct_fallend,60,353,0.0223932005399454,-0.0949406709419772,0.49917754147166093,0.02012072512784474,0.6501108136572761,0.2045613250326488,False,NASDAQ,volume_ratio,80,Dow Jones,0.0022724754121006586,True
volume_ratio_80pct_fallend,90,353,0.026238057343978778,-0.11514340460226628,0.3868422988365762,0.030314762669667872,0.5093467392835547,0.5103615659583183,False,NASDAQ,volume_ratio,80,Dow Jones,-0.004076705325689094,True
volume_ratio_80pct_fallend,30,353,0.019957909093442753,-0.08169516606406886,0.6581687918564973,0.01909582167901598,0.8569927482935709,0.3992581980370544,False,NASDAQ,volume_ratio,80,NASDAQ 100,0.0008620874144267716,True
volume_ratio_80pct_fallend,60,353,0.04595826901264388,-0.10834942263516043,0.7858281925560099,0.03898690196589121,0.2861930130095549,0.04516839030538077,False,NASDAQ,volume_ratio,80,NASDAQ 100,0.00697136704675267,True
volume_ratio_80pct_fallend,90,353,0.06845873794433023,-0.12793021793327977,0.7520416786481462,0.05916250684530102,0.26228484894960763,0.012357040035803336,False,NASDAQ,volume_ratio,80,NASDAQ 100,0.00929623109902921,True
volume_ratio_80pct_fallend,30,353,0.01379956219578516,-0.09566033711730253,0.3946968756867484,0.01139934006387728,0.663130494459633,0.141770190850694,False,NASDAQ,volume_ratio,80,Russell 2000,0.002400222131907881,True
volume_ratio_80pct_fallend,60,353,0.03185697232419336,-0.12956218391366214,0.5194262338137898,0.022813289139560263,0.1883554694232629,0.008450762794746927,False,NASDAQ,volume_ratio,80,Russell 2000,0.009043683184633094,True
volume_ratio_80pct_fallend,90,353,0.0409904114781931,-0.15417083769536497,0.4448709126670882,0.034351194551070496,0.43069529695422626,0.02684871434567773,False,NASDAQ,volume_ratio,80,Russell 2000,0.006639216927122604,True
volume_ratio_90pct_fallend,30,89,0.009822835219567908,-0.08768409151748101,0.29894875218533185,0.01197949632199546,0.8318625191063883,0.6797794719654873,False,NASDAQ,volume_ratio,90,S&P 500,-0.0021566611024275532,True
volume_ratio_90pct_fallend,60,89,0.02067239743279073,-0.11924048510164302,0.3573017044099888,0.024081544333417183,0.7876675738931812,0.6816195191643224,False,NASDAQ,volume_ratio,90,S&P 500,-0.0034091469006264537,True
volume_ratio_90pct_fallend,90,89,0.03753930736699652,-0.13635455449530343,0.48453598659562136,0.03654052573550044,0.9425115246458283,0.29917673947288037,False,NASDAQ,volume_ratio,90,S&P 500,0.0009987816314960749,True
volume_ratio_90pct_fallend,30,89,0.00979022986773827,-0.08119959992738286,0.33274574098137705,0.010153208940029,0.9681767002844532,0.4152606411972839,False,NASDAQ,volume_ratio,90,Dow Jones,-0.0003629790722907301,True
volume_ratio_90pct_fallend,60,89,0.020166264415920943,-0.11012322132000327,0.38765555652508793,0.02012072512784474,0.9968076056847365,0.528172397864862,False,NASDAQ,volume_ratio,90,Dow Jones,4.553928807620247e-05,True
volume_ratio_90pct_fallend,90,89,0.031602785472803596,-0.12748724216267046,0.4636206793196585,0.030314762669667872,0.9158579151281075,0.27217313601415993,False,NASDAQ,volume_ratio,90,Dow Jones,0.0012880228031357244,True
volume_ratio_90pct_fallend,30,89,0.020386498300752447,-0.09158678704818135,0.5732444606841014,0.01909582167901598,0.9066062516962163,0.32478329880322987,False,NASDAQ,volume_ratio,90,NASDAQ 100,0.0012906766217364654,True
volume_ratio_90pct_fallend,60,89,0.044514428838342696,-0.12118389714611935,0.6872817497907789,0.03898690196589121,0.6967444509902457,0.16219539054794796,False,NASDAQ,volume_ratio,90,NASDAQ 100,0.005527526872451484,True
volume_ratio_90pct_fallend,90,89,0.07936367665236445,-0.13508678737480811,0.889179011886949,0.05916250684530102,0.20776167726195635,0.0147234160677524,False,NASDAQ,volume_ratio,90,NASDAQ 100,0.020201169807063428,True
volume_ratio_90pct_fallend,30,89,0.005942808557288784,-0.11196736371794418,0.14298070602461227,0.01139934006387728,0.6713323826661376,0.8858041229758367,False,NASDAQ,volume_ratio,90,Russell 2000,-0.005456531506588496,True
volume_ratio_90pct_fallend,60,89,0.022328163859475884,-0.1529454925467549,0.3098689064020392,0.022813289139560263,0.9754618902189588,0.4260024373406788,False,NASDAQ,volume_ratio,90,Russell 2000,-0.00048512528008437875,True
volume_ratio_90pct_fallend,90,89,0.044262921606707,-0.1747780610529301,0.4637527598153351,0.034351194551070496,0.5620602432765323,0.11315628273615262,False,NASDAQ,volume_ratio,90,Russell 2000,0.009911727055636504,True
stocks_ratio_70pct_fallend,30,894,0.017873577793862293,-0.060233935108745716,0.7756685811506391,0.013693655159976469,0.08028518476489567,0.003031248328898723,False,NYSE,stocks_ratio,70,S&P 500,0.004179922633885825,True
stocks_ratio_70pct_fallend,60,894,0.03543696608641084,-0.08195393784376769,0.8621698655346036,0.028311368714780343,0.019145194935336125,0.004794597964121461,True,NYSE,stocks_ratio,70,S&P 500,0.007125597371630495,True
stocks_ratio_70pct_fallend,90,894,0.05374013498426961,-0.09597097662846239,0.9095986449562903,0.04396284453524409,0.006220161408806418,0.00042684101813164914,True,NYSE,stocks_ratio,70,S&P 500,0.00977729044902552,True
stocks_ratio_70pct_fallend,30,894,0.016238688565478065,-0.05688892424042326,0.7504366269162257,0.01178733651352356,0.04754236354776079,0.0009467793407399407,True,NYSE,stocks_ratio,70,Dow Jones,0.004451352051954505,True
stocks_ratio_70pct_fallend,60,894,0.030398753657040176,-0.07783995737780498,0.8070008464132911,0.024024435989243597,0.02256222898335676,0.013431961743342739,True,NYSE,stocks_ratio,70,Dow Jones,0.006374317667796579,True
stocks_ratio_70pct_fallend,90,894,0.04499631127852383,-0.09122673895809058,0.854536201789138,0.036984628218799685,0.012315266435496814,0.0036319599529039495,True,NYSE,stocks_ratio,70,Dow Jones,0.008011683059724148,True
stocks_ratio_70pct_fallend,30,894,0.025031398121482078,-0.06897561340192036,0.9563446184166959,0.0208181305852853,0.12270215379883367,0.04092275484799151,False,NYSE,stocks_ratio,70,NASDAQ 100,0.004213267536196778,True
stocks_ratio_70pct_fallend,60,894,0.05276736940484713,-0.09288689275892399,1.0602270453028648,0.04359806895872419,0.012792542560088075,0.00606106016421783,True,NYSE,stocks_ratio,70,NASDAQ 100,0.009169300446122942,True
stocks_ratio_70pct_fallend,90,894,0.08118650783406485,-0.10845624135850584,1.119992058352574,0.06726908641625615,0.0014952702536394822,0.0004019150607394777,True,NYSE,stocks_ratio,70,NASDAQ 100,0.013917421417808704,True
stocks_ratio_70pct_fallend,30,894,0.019621748073784938,-0.07977301010104466,0.6290424961131919,0.012585319613388988,0.029723705890832706,0.0006890947808693367,True,NYSE,stocks_ratio,70,Russell 2000,0.00703642846039595,True
stocks_ratio_70pct_fallend,60,894,0.03758424936170649,-0.10982452130822691,0.6696386938975057,0.025881882933534207,0.0049723666201123735,0.0015810969094638976,True,NYSE,stocks_ratio,70,Russell 2000,0.011702366428172285,True
stocks_ratio_70pct_fallend,90,894,0.05599795041126377,-0.12865677211002854,0.6935960966414095,0.04036438933282927,0.0014670400500973596,0.0004884163934583037,True,NYSE,stocks_ratio,70,Russell 2000,0.0156335610784345,True
stocks_ratio_80pct_fallend,30,446,0.0182636587304497,-0.06774504595187118,0.7236768686500837,0.013693655159976469,0.2003535497773829,0.0029451099949672783,False,NYSE,stocks_ratio,80,S&P 500,0.004570003570473231,True
stocks_ratio_80pct_fallend,60,446,0.04082397933374723,-0.08827410662107356,0.9496315163806185,0.028311368714780343,0.003939531144732566,0.0002549307453113604,True,NYSE,stocks_ratio,80,S&P 500,0.012512610618966885,True
stocks_ratio_80pct_fallend,90,446,0.05825014750072483,-0.10145289873890671,0.9181307860521468,0.04396284453524409,0.006157663520328279,2.4207785378750645e-05,True,NYSE,stocks_ratio,80,S&P 500,0.014287302965480739,True
