signal,horizont_tage,n_events,mean_return,mean_mdd,sharpe,mean_return_basis,t_pvalue,u_pvalue,signifikant_5pct,Index
B9_Collapse_SMA200,60,71,0.0457135695008382,-0.0954849583184476,1.1996109023890504,0.020419989060796,0.008353103886147331,0.006959623664873489,True,Dow Jones
B9_Collapse_SMA200,90,71,0.07084821293321306,-0.10257381760833878,1.4752798824921916,0.029957510711876342,6.230067150253172e-05,0.00013438269988591095,True,Dow Jones
B9_Collapse_SMA200,30,31,0.060534641766053124,-0.08672922603126977,1.9399827585058151,0.019543165365942878,0.017280128646192973,0.019740145663100304,True,NASDAQ 100
B9_Collapse_SMA200,60,31,0.11262865269339607,-0.10436965821565641,1.7803042816946915,0.03961843332982159,0.00385736033858725,0.0007116070309512328,True,NASDAQ 100
B9_Collapse_SMA200,90,31,0.1334495092398321,-0.12119604583098799,1.1800669487539468,0.0592477100694034,0.03713913330470791,0.10214205842155744,False,NASDAQ 100
B9_Collapse_SMA200,30,1,0.130399635329443,-0.014972784621781199,,0.010993108582537036,,,False,Russell 2000
B9_Collapse_SMA200,60,1,0.14260543400803893,-0.03919084191448874,,0.021730947087333752,,,False,Russell 2000
B9_Collapse_SMA200,90,1,0.06687467855229201,-0.07987710263668946,,0.031998262689338,,,False,Russell 2000
P1_PCR_oberstes_Dezil,30,489,0.036171473107606225,-0.0500446663997939,2.0725823737809392,0.011872948475968544,5.278311888379115e-22,1.3212963093300063e-21,True,S&P 500
P1_PCR_oberstes_Dezil,60,489,0.057335890622648836,-0.07053169850204791,1.899766282663406,0.02374344520785139,1.160479616319469e-26,5.830081079916058e-22,True,S&P 500
P1_PCR_oberstes_Dezil,90,489,0.08623242828240549,-0.07780232006243129,2.075740481046429,0.03529331256112084,1.164966654796639e-43,1.1634498313232274e-34,True,S&P 500
P1_PCR_oberstes_Dezil,30,489,0.034496997958917135,-0.04663506754098231,2.0204097563028722,0.01032190307332623,9.314391837118557e-23,4.562629164529322e-23,True,Dow Jones
P1_PCR_oberstes_Dezil,60,489,0.05440609023678485,-0.06622821217899355,1.7572776024365773,0.020419989060796,1.8430529396376193e-26,3.441332554474835e-23,True,Dow Jones
P1_PCR_oberstes_Dezil,90,489,0.07685063951786986,-0.07311429208054021,1.9343283242274978,0.029957510711876342,2.85638072636144e-41,7.750448959092038e-32,True,Dow Jones
P1_PCR_oberstes_Dezil,30,489,0.04423096185163019,-0.05671586062295586,2.182491569671574,0.019543165365942878,2.1385890939059126e-17,1.0773378032681658e-13,True,NASDAQ 100
P1_PCR_oberstes_Dezil,60,489,0.07828182468114624,-0.07588716688087699,2.1948846346715394,0.03961843332982159,2.546547094108219e-25,4.539302405614439e-19,True,NASDAQ 100
P1_PCR_oberstes_Dezil,90,489,0.11982504152062318,-0.08409795455109378,2.281203936157818,0.0592477100694034,1.1324154948489004e-39,2.642929508890602e-31,True,NASDAQ 100
P1_PCR_oberstes_Dezil,30,489,0.04188222521573052,-0.06856847847546742,1.638468797146815,0.010993108582537036,1.7543172627353362e-17,1.1187893331780012e-20,True,Russell 2000
P1_PCR_oberstes_Dezil,60,489,0.07036526486905002,-0.09660161377883081,1.6946607473706239,0.021730947087333752,3.3964487676571824e-29,1.657627491125881e-31,True,Russell 2000
P1_PCR_oberstes_Dezil,90,489,0.0990257255307542,-0.10730822305526144,1.8275073773693002,0.031998262689338,5.215110661515255e-44,1.2826572884996315e-41,True,Russell 2000
P3_PCR_Q4,30,1222,0.023837514526022358,-0.04986693177948479,1.2671717079398792,0.011872948475968544,1.2092150111080702e-11,1.1118798140566224e-13,True,S&P 500
P3_PCR_Q4,60,1222,0.04655790019767227,-0.0663811363170712,1.5078065323361967,0.02374344520785139,1.9444239415856695e-26,2.762180986790601e-20,True,S&P 500
P3_PCR_Q4,90,1222,0.06825305212154999,-0.07598263876521247,1.5253128280877852,0.03529331256112084,1.633260515614595e-37,2.2439278561015182e-27,True,S&P 500
P3_PCR_Q4,30,1222,0.02362876846754322,-0.04639193908428343,1.3098006886224283,0.01032190307332623,3.752443174548999e-15,9.591956823444664e-18,True,Dow Jones
P3_PCR_Q4,60,1222,0.043177533722922025,-0.06292825525568026,1.4153286451417562,0.020419989060796,1.3448942964758425e-27,1.3467790510080022e-23,True,Dow Jones
P3_PCR_Q4,90,1222,0.060063484013195376,-0.07240791549292869,1.4455542040645397,0.029957510711876342,1.267219627142634e-36,1.9654025125139878e-27,True,Dow Jones
P3_PCR_Q4,30,1222,0.03297083170984867,-0.05696754753048258,1.5218912371227051,0.019543165365942878,5.512843356278822e-11,4.148903097756822e-09,True,NASDAQ 100
P3_PCR_Q4,60,1222,0.06816013758689206,-0.07341517334026702,1.8245109112775222,0.03961843332982159,5.290393884038732e-28,9.055527006981401e-19,True,NASDAQ 100
